dim,fid,repetition,BSqi,BSrr,CMA-CSA,fmincon,fminunc,HCMA,HMLSL,IPOP400D,MCS,MLSL,OQNLP,SMAC-BBOB
2,1,1,1.7666666666666666,1.7666666666666666,13.666666666666666,1.8666666666666665,1.1666666666666667,1.0,1.8666666666666665,11.533333333333333,2.6,1.8666666666666665,3.0666666666666664,2.4
2,2,1,1.0,1.2524271844660193,17.21359223300971,1.9514563106796117,4.475728155339806,9.233009708737862,1.9514563106796117,22.310679611650485,3.1553398058252426,1.9514563106796117,2.4757281553398056,4596.0
2,3,1,1.0,1.0719602977667495,45.36724565756824,28.208436724565757,26.20099255583127,2.741935483870968,8.826302729528535,23.145161290322584,8.635235732009926,26.88089330024814,13.468982630272953,36566.0
2,4,1,1.0,1.0364372469635628,192.2591093117409,19.356275303643727,24.34412955465587,4.101214574898785,56.73481781376518,29.80769230769231,13.73684210526316,42.91902834008097,61.96356275303644,189952.0
2,5,1,1.3181818181818181,1.3181818181818181,5.545454545454545,3.8636363636363633,2.954545454545454,1.4545454545454546,3.8636363636363633,5.0,1.0,3.8636363636363633,4.090909090909091,1.1818181818181817
2,6,1,177.94780545670284,275.08303677342883,4.854092526690391,1.0,2.0035587188612096,5.999999999999999,1.0,3.807829181494662,40.455516014234874,1.0,1.686832740213523,154596.666666667
2,7,1,174403.333333333,174403.333333333,1.0,70.9614973262032,72.0855614973262,1.1614973262032084,3.037433155080214,1.9336898395721926,2.263101604278075,93.26381461675561,1.7850267379679146,3.4759358288770055
2,8,1,508.3549783549783,389.76190476190476,12.160173160173159,1.5974025974025972,1.4112554112554112,8.29004329004329,1.5974025974025972,7.9264069264069255,1.0,1.5974025974025972,1.5151515151515151,234860.0
2,9,1,487660.0,1477.7575757575758,11.424242424242424,1.0,1.2666666666666666,7.757575757575758,1.0,9.163636363636362,1.3272727272727272,1.0,1.1393939393939394,487660.0
2,10,1,147300.0,515.034965034965,12.685314685314685,1.0,3.6433566433566433,6.769230769230768,1.0,16.2027972027972,381.3216783216783,1.0,4.524475524475524,147300.0
2,11,1,295.036496350365,149.23357664233578,12.795620437956206,1.0,2.7080291970802923,7.583941605839417,1.0,19.547445255474454,621.3138686131388,1.0,13.226277372262773,170240.0
2,12,1,153.6295871559633,40.57721712538222,5.885321100917431,1.0,1.4908256880733946,8.197247706422017,1.0,4.873853211009174,28.05963302752294,1.0,2.3256880733944953,133965.0
2,13,1,1091.6028708133972,456290.0,6.588516746411483,1.0,304.0909090909091,4.473684210526316,1.0,9.15311004784689,580.9968102073374,1.0,2.971291866028708,456290.0
2,14,1,15.345132743362832,12.513274336283185,3.734513274336283,1.0,1.3982300884955752,4.4159292035398225,1.0,3.769911504424779,1.7876106194690264,1.0,1.4690265486725664,4.849557522123893
2,15,1,41.6934705693149,259250.0,2.4593116757799938,1.1222257960759086,4.963975554840785,1.5422965583789001,2.4200707623029913,2.265197812801544,2.33097458990029,4.135734963010615,1.0,259250.0
2,16,1,34.50663349917082,50.01658374792704,4.211442786069652,24.341832504145938,34.414593698175786,1.7271973466003319,11.121890547263682,1.0,5.794361525704809,17.123548922056386,18.268380320619116,120640.0
2,17,1,23.833025830258304,27.443331576172906,1.441222983658408,243.26568265682658,43.74275171323142,2.07380073800738,8.139167105956775,1.0,3.9499209277807066,245.9910384818134,7.669478123352663,933290.0
2,18,1,112698.0,112698.0,1.0,112698.0,112698.0,3.260463507436873,17.696644759598755,2.893462469733656,19.491179522656516,112698.0,112698.0,112698.0
2,19,1,242.43125,93.55,64.20625,1.0,64.85625,118.1125,1.0,70.5625,6.75,1.0,38.6484375,12.625
2,20,1,16.11551064991808,9.89787001638449,3.959038776624795,3.804478427089023,2.925177498634626,18.32768978700164,2.7028945931185144,67116.0,1.0,1.3937738940469688,3.985253959584927,67116.0
2,21,1,24.437217194570135,37.83182503770735,22.837104072398187,1.8778280542986425,1.5271493212669682,10.09049773755656,1.4570135746606334,4.522058823529411,27.398190045248867,1.0339366515837105,1.6266968325791855,1.0
2,22,1,313.02547770700636,414.2547770700637,36.250955414012736,1.1847133757961783,1.5044585987261145,7.039490445859873,1.535031847133758,6.117834394904459,8.363057324840764,1.570700636942675,1.8242038216560508,1.0
2,23,1,62.12178877259753,263660.0,6.089914367269267,1.7982873453853474,62.716460513796385,5.6560418648905815,1.6065651760228354,5.435299714557565,14.572312083729782,1.0,4.843601332064701,263660.0
2,24,1,8.327444956477214,7172360.0,7172360.0,11.9810547875064,3.8863287250384024,183.6241679467486,12.050691244239632,7172360.0,5.6074415429254225,5.549027137736815,1.0,7172360.0
3,1,1,2.1,2.1,20.075,1.925,1.125,1.0,1.925,16.525,2.375,1.925,2.875,3.45
3,2,1,1.0,1.2056737588652482,20.900709219858157,2.638297872340426,6.361702127659575,6.950354609929078,2.638297872340426,28.02836879432624,5.76595744680851,2.638297872340426,3.106382978723404,7904.0
3,3,1,1.043609022556391,1.0,100.66015037593985,183.9436090225564,519.7518796992481,5.05563909774436,11.548872180451127,691270.0,76.7578947368421,159.81954887218046,38.443609022556394,691270.0
3,4,1,1.1475409836065573,1.0,3877845.0,233.13296903460838,130.2504553734062,1765.8674863387978,13.683970856102004,3877845.0,143.64754098360658,110.49635701275047,3877845.0,3877845.0
3,5,1,1.3939393939393938,1.3939393939393938,7.424242424242425,4.3939393939393945,3.181818181818182,1.6060606060606062,4.3939393939393945,7.757575757575759,1.0,4.3939393939393945,3.0303030303030303,1.2121212121212122
